timeStamp, OTx, OTy, OTz, vex, vey, vez, roll, pitch, yaw, xr, yr, zr, roll_ref, pitch_ref, thrust
5026, -0.15876030921936035, 0.06872963905334473, 0.5419404990971088, 0.0011486230973341363, 0.00040813996861187925, -0.002006912729588957, -0.015534140402451156, 0.031785983964800826, -0.28409603238105774, 1.6679538701325214e-05, 0.008167777593301994, 0.5000166795387013, 5.172396404590381, 11.728185004007896, 39282
5036, -0.1587679386138916, 0.0683286190032959, 0.5413495190441608, 0.0012023501901755815, 0.0007397419855974243, -0.0026998486802941777, -0.01070807226933539, 0.022010555677115917, -0.2956156194210052, 3.197717740710537e-05, 0.011308769158364748, 0.5000319771774071, 5.1810966995637004, 11.836631470035634, 39290
5046, -0.15913748741149902, 0.06783127784729004, 0.5427428968250751, 0.0013748572504345368, 0.0011249121148413342, -0.0032369018034533316, -0.008356771105900407, 0.013737648539245128, -0.3076548635959625, 5.2209298652849956e-05, 0.014449314272585124, 0.5000522092986528, 5.187954885751238, 11.963642845394844, 39275
5056, -0.15827631950378418, 0.06830811500549316, 0.541459608823061, 0.0027527998567397384, 0.0016675290159731753, -0.0039016316911456455, -0.008936934778466821, 0.019350587390363213, -0.3207103252410889, 7.737570275573313e-05, 0.017589288952618926, 0.5000773757027557, 5.278471600578031, 11.915993862940118, 39290
5066, -0.1581737995147705, 0.06842100620269775, 0.5396990068256855, 0.004597307681412132, 0.001945338565330371, -0.004936691304737095, -0.012230345467105507, 0.03947830256074667, -0.33370991349220275, 0.0001074761413334957, 0.020728569237642568, 0.5001074761413336, 5.333484280893487, 11.874200793594895, 39315
5076, -0.15817523002624512, 0.06836581230163574, 0.5404240377247334, 0.006705083718293914, 0.004103702662415822, -0.006420208684690841, -0.042632134864106774, 0.08898805808275936, -0.3468275666236877, 0.00014251031730694308, 0.023867031194245703, 0.5001425103173069, 5.514610460694106, 11.769764751930275, 39314
5086, -0.15802693367004395, 0.06738197803497314, 0.539812196046114, 0.011463482106325544, 0.006871499763965655, -0.008499827198169791, -0.09572222088463604, 0.20766595434397458, -0.359402796626091, 0.00018247788490299843, 0.027004550921324474, 0.500182477884903, 5.697674839792865, 11.394956532347816, 39332
5097, -0.15794610977172852, 0.06775414943695068, 0.539238203316927, 0.017029628524995007, 0.007405652998832023, -0.010929724987388718, -0.15391744920052589, 0.40171061027795074, -0.3710572451353073, 0.00023213980433739456, 0.03045458651566704, 0.5002321398043375, 5.886540538396534, 10.83854533533418, 39353
5107, -0.157928466796875, 0.06821513175964355, 0.538793969899416, 0.027802758279587076, 0.009602478904662133, -0.014645019747722676, -0.2559279926121235, 0.7255015583708884, -0.3831981390714645, 0.0002824661522538019, 0.033589724434105364, 0.5002824661522538, 6.243902685341072, 9.789745650401178, 39382
5117, -0.15685796737670898, 0.068351149559021, 0.5377917177975178, 0.03492199504058055, 0.012691007522218547, -0.017993868427812032, -0.39904377348721026, 1.1105074414983394, -0.3979025542736053, 0.00033772451048508234, 0.03672353628773784, 0.5003377245104851, 6.698042799692894, 8.709501249414961, 39414
5127, -0.15682005882263184, 0.0684891939163208, 0.537519384175539, 0.044079564060317926, 0.015956702769220288, -0.022423629667902126, -0.5787146259099245, 1.6067066261544822, -0.41285181045532227, 0.000397914333653715, 0.03985589835903846, 0.5003979143336537, 7.231223547738188, 7.391423330926947, 39446
5137, -0.1563575267791748, 0.0684882402420044, 0.5365063436329365, 0.05204557186754334, 0.019909910356263407, -0.02643915985330771, -0.796444395557046, 2.1779967918992043, -0.4298169523477554, 0.00046303502771027905, 0.042986686987716086, 0.5004630350277103, 7.859425657938178, 5.947787657672828, 39483
5147, -0.15507721900939941, 0.0689542293548584, 0.5350703485310078, 0.06261255303570713, 0.02223199573960888, -0.03176915270960021, -1.0249701615422964, 2.8417505770921707, -0.4399852454662323, 0.0005330859499398932, 0.046115778575596705, 0.50053308594994, 8.466893774125262, 4.139815592030284, 39535
5157, -0.15458369255065918, 0.0693807601928711, 0.5345813520252705, 0.06861916719157402, 0.02612675162080607, -0.036452240128260045, -1.281372422724962, 3.5153024196624756, -0.45726545751094816, 0.0006080664089682664, 0.04924304959150175, 0.5006080664089683, 9.197613397341941, 2.580598692647018, 39571
5168, -0.15448975563049316, 0.06969070434570312, 0.5367894060909748, 0.07516775256728224, 0.029386510512376406, -0.04193063043566357, -1.5293419122695922, 4.217567294836044, -0.46963747441768644, 0.0006962376442284368, 0.052680797601949235, 0.5006962376442284, 9.871934616013029, 0.9690826569850448, 39582
5178, -0.15362310409545898, 0.06995618343353271, 0.5337340719997883, 0.08265184719443341, 0.030051657794658283, -0.04756870555072299, -1.7288253068923949, 4.913850104808807, -0.4693785578012466, 0.0007815676636888091, 0.05580384364841141, 0.5007815676636889, 10.325668094694134, -0.7313441736081506, 39654
5188, -0.15253281593322754, 0.06973731517791748, 0.5317456610500813, 0.08685914209928464, 0.02886160782109754, -0.05214056695320189, -1.8594626545906068, 5.528928458690644, -0.46470251977443694, 0.0008718247675337243, 0.05892468665467784, 0.5008718247675337, 10.519701459429823, -2.1369642084931733, 39707
5198, -0.15107131004333496, 0.07051372528076172, 0.5333704836666584, 0.09140261457307791, 0.028445852214969543, -0.0554350568836984, -1.919080626964569, 6.056883096694947, -0.44775579422712325, 0.0009670080649619717, 0.06204320341521065, 0.500967008064962, 10.681018038747295, -3.4136877520689852, 39709
